,Unnamed: 0,gaia_id,koi_disposition,koi_score,pl_hostname,pl_orbper,pl_orbsmax,source,designation,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,visibility_periods_used,mean_varpi_factor_al,rv_nb_transits,phot_g_mean_mag,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,phot_variable_flag,l,b,source_id,distance,r_lo,r_hi,ext_B_V,ext_bp_rp,ext_G,bp_rp0,G0,M_G0
0,0,Gaia DR2 2051027792165858304,CANDIDATE,0.858,KIC 1717722,0.977311489,0.0175,DR25,Gaia DR2 2051027792165858304,290.6178586512172,0.025212495802275477,37.289100186011964,0.0316580572466106,1.659279938858944,0.034851129318442885,47.610508,-14.246097857592902,0.05561245777360501,4.020801302441214,0.06655508995328446,-0.012762861,0.17353858,-0.059895534,-0.12373506,0.26976809999999996,-0.11419164400000001,-0.07630689,-0.08195538,-0.23710889,-0.17228310000000002,220.0,0.0,217.0,3.0,-1.9030148,174.59286,0.0,1.3802802276888773e-15,15.0,-0.013082924,0.0,15.653960000000001,1.3381376,0.60312176,0.73501587,,,b'NOT_AVAILABLE',69.65881033538089,10.408561561067335,2.0510277921658583e+18,592.711179085082,580.620392564064,605.306786312423,0.03605854281285769,0.048282388826416445,0.09880040730723008,1.2898552111735837,15.555159592692771,6.789744407425811
1,1,Gaia DR2 2099092015260131328,CANDIDATE,,KIC 2283362,0.673141323,0.0148,DR25,Gaia DR2 2099092015260131328,286.11073603687487,0.03022773028436285,37.61183158866813,0.03578926244090064,0.9190860122466284,0.04041419377437409,22.741663,-1.8330086576854467,0.06705700544519487,-4.094189362105931,0.06900441150359797,-0.23472397,-0.16226402,-0.1467248,0.07040099,0.39155840000000003,-0.01296948,-0.1915027,-0.11929221,-0.22441678,-0.11301130000000001,212.0,0.0,212.0,0.0,1.4942547,238.18361000000002,0.08306734913885842,0.5897581799943364,14.0,-0.121659175,0.0,15.761606,1.0984677999999999,0.4745121,0.6239557,,,b'NOT_AVAILABLE',68.40878437061932,13.786588244433243,2.0990920152601316e+18,1056.34337704938,1012.7630167245301,1103.76353919389,0.06560208136403464,0.08784118694644238,0.17974970293745493,1.0106266130535575,15.581856297062545,5.642580431182372
2,2,Gaia DR2 2099158295194377216,CANDIDATE,0.987,KIC 2696205,0.702739679,0.0145,DR25,Gaia DR2 2099158295194377216,286.89841239370065,0.021729937728998543,37.93743627296298,0.026040354008471583,1.5108434673048337,0.027641461053726,54.658595999999996,0.16088617777770686,0.048667948878176576,0.4621083831844338,0.04764378911386148,0.028981882999999996,0.014399354,-0.29257890000000003,-0.03308046,0.35667297,-0.08376904,-0.24277258,-0.15258971,-0.10166455,0.06544588,234.0,9.0,233.0,1.0,3.0178987999999998,297.9097,0.11024542639207928,1.8307935818952703,17.0,0.077883005,0.0,14.960207999999998,1.1280279,0.48573875,0.64228916,,,b'NOT_AVAILABLE',68.9751297303346,13.350064944348064,2.0991582951943767e+18,649.686906555011,638.136379517413,661.655454881754,0.038113527706598135,0.051034013599134904,0.1044310659160789,1.076993886400865,14.855776934083918,5.896687428434259
3,3,Gaia DR2 2099950424601512704,CANDIDATE,0.894,KIC 2970670,0.947554749,0.0186,DR25,Gaia DR2 2099950424601512704,286.0711372021962,0.012031459885392616,38.16753699539005,0.015084754072665027,1.8391740219223975,0.01515937152755909,121.32258,-1.082982386011121,0.025827604932293968,-10.10092972833041,0.02950551872076239,-0.07505814,-0.14863289999999998,-0.18380839,0.04196542,0.2360862,0.01614963,-0.33863115,-0.09089066,-0.008630655,-0.012692446999999999,239.0,0.0,238.0,1.0,-5.765619,128.93375,0.0,0.0,17.0,0.07580166,0.0,13.823273,0.9526681999999999,0.40127087,0.5513973000000001,,,b'NOT_AVAILABLE',68.91991163518728,14.038854643225417,2.0999504246015127e+18,535.331299714796,530.989101821157,539.743811271541,0.03291679594034002,0.04407558976411528,0.09019202087653166,0.9085926102358846,13.733080979123468,5.180159817866819
4,4,Gaia DR2 2052619541406162304,CANDIDATE,0.988,KIC 2986833,0.912179022,0.0155,DR25,Gaia DR2 2052619541406162304,290.7820813307505,0.029120238954177213,38.18759849616094,0.03855311520246946,3.320040897846187,0.03616899829207696,91.79245,-7.9152497246537195,0.06559884080494728,-39.6039460153921,0.07554973970796679,-0.14029789,-0.035863556,-0.25357956,0.14020115,0.12670934,0.15446651,-0.4211224,0.009857939,-0.06937721,-0.18033521,221.0,0.0,218.0,3.0,2.0862644,258.26807,0.12981252110834973,1.4580649127637677,15.0,-0.0064644376,0.0,15.804651999999999,2.0089226000000004,0.9991083000000001,1.0098143,,,b'NOT_AVAILABLE',70.53690076888417,10.689572257692811,2.0526195414061624e+18,298.654517573842,295.438344065095,301.940207005756,0.026633115603450722,0.035661741793020514,0.07297473675345499,1.97326085820698,15.731677263246544,8.428806557731164
5,5,Gaia DR2 2099952589265076864,CANDIDATE,0.862,KIC 3098605,0.428046051,0.0104,DR25,Gaia DR2 2099952589265076864,286.147743318565,0.022664567946327804,38.241733007685596,0.02636062624998372,1.4545870197578796,0.02930382689403618,49.638126,-5.73129849728104,0.05139736327191791,-13.841385921736315,0.05028721844607111,-0.06868826,-0.15994835,0.0021148378,-0.05018428,0.36228672,-0.09533768,-0.18329293,-0.057502292,-0.12731208,-0.014768536,208.0,0.0,208.0,0.0,-0.8453171,185.81007,0.0,0.0,17.0,0.065147005,0.0,15.245423,1.1332959999999999,0.49290752,0.6403885,,,b'NOT_AVAILABLE',69.01486482629844,14.0135108981879,2.0999525892650767e+18,674.368679135193,661.198531143447,688.0642675790159,0.04084953255471751,0.054697524090766746,0.11192771919992599,1.078598475909233,15.133495280800075,6.100936043003692
6,6,Gaia DR2 2052805015271412224,CANDIDATE,0.9990000000000001,KIC 3112129,0.487656278,0.0122,DR25,Gaia DR2 2052805015271412224,290.33718587692675,0.016548899690732716,38.204973334696895,0.018504881330205558,1.1589756199205,0.019811194966532133,58.501045,0.9145798375465878,0.03457485328247842,-1.504146237485985,0.032582323480937266,0.118953,0.08667494,-0.36805198,-0.10622179,0.35160968,-0.163415,-0.3494427,-0.19638057,-0.1740205,0.0763145,222.0,0.0,221.0,1.0,-0.5350741,204.42517,0.0,0.0,15.0,-0.06451034,0.0,14.36505,0.8912181999999998,0.36604309999999995,0.5251751,,,b'NOT_AVAILABLE',70.39615897825247,11.01120077704689,2.052805015271412e+18,842.073771822242,828.1492820858459,856.465795110062,0.057348095987636634,0.07678910052744545,0.15713378300612438,0.8144290994725544,14.207916216993876,4.738299297300644
7,7,Gaia DR2 2052736123999181824,CONFIRMED,0.99,KIC 3444588,0.928310036,0.0159,DR25,Gaia DR2 2052736123999181824,291.6924772825144,0.02770824440642053,38.57291052400289,0.034720163455971065,1.9579125575433303,0.0361629764598275,54.14135400000001,2.1157141451599153,0.06280975342384174,5.421978117045682,0.06687848651548098,0.061270602,0.045007695,0.04124659,-0.04009774,0.30254048,-0.10892286,-0.3544613,-0.19407856,0.021636697000000003,0.06828706,223.0,0.0,222.0,1.0,-0.24091741,211.36389,0.0,0.0,15.0,0.05867313,0.0,15.861248000000002,1.6623316000000004,0.7990017,0.8633299000000001,,,b'NOT_AVAILABLE',71.2109162188406,10.222193240697418,2.0527361239991816e+18,503.567808164261,494.49054800687003,512.978358556887,0.032343376578706576,0.04330778123888811,0.08862085182565603,1.6190238187611123,15.772627148174346,7.350958205206613
8,8,Gaia DR2 2052318928058968064,CANDIDATE,1.0,KIC 3550372,0.681180633,0.0146,DR25,Gaia DR2 2052318928058968064,292.90773741400034,0.018667873663882298,38.683055523998206,0.022473362569598962,0.34461357751563604,0.022928964968042077,15.029617000000002,3.400185853619043,0.040476226910493296,-5.7318140877981625,0.04490547770314507,0.0036221554,0.029765606,-0.22077268,0.021479644,0.18714635,0.008018353,-0.35076204,-0.093728684,-0.005914168000000001,-0.023451766000000002,238.0,0.0,237.0,1.0,-0.6606475,217.41914,0.0,0.0,16.0,0.03301008,0.0,15.095792999999999,1.2328606000000002,0.546093,0.6867675999999999,,,b'NOT_AVAILABLE',71.74795894134039,9.426311549027773,2.052318928058968e+18,2680.4417711262304,2521.8956614943104,2859.7558224231,0.09864959755467133,0.1320918111257049,0.2702998972997995,1.1007687888742952,14.825493102700198,2.9547611139024603
9,9,Gaia DR2 2073163877511675392,CANDIDATE,0.815,KIC 3867794,0.494247662,0.0127,DR25,Gaia DR2 2073163877511675392,295.7377470194213,0.026047152507238384,38.90387947782015,0.03056952467494703,0.8710817085852077,0.033192143974537784,26.243609999999997,7.4306057360086815,0.0591369513121294,-2.5388389339220496,0.05858952895845434,0.07856283,0.044637665,-0.21263765,0.02219888,0.31535533,0.025069984,-0.26915208,-0.03626051,-0.18749839999999998,-0.04565278,236.0,0.0,235.0,1.0,-0.5465729,217.83177,0.0,0.0,16.0,0.054387383,0.0,15.693280999999999,1.0286511999999999,0.43795395,0.5906973000000001,,,b'NOT_AVAILABLE',72.9962327494611,7.585205580638119,2.0731638775116756e+18,1113.2893461865801,1073.27964873779,1156.3392083943,0.09084027298398237,0.12163512552555239,0.24890234797611172,0.9070160744744475,15.444378652023888,5.460240734836152
