,Unnamed: 0,pl_hostname,pl_orbper,pl_orbsmax,gaia_id,source,designation,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,visibility_periods_used,mean_varpi_factor_al,rv_nb_transits,phot_g_mean_mag,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,phot_variable_flag,l,b,source_id,distance,r_lo,r_hi,ext_B_V,ext_bp_rp,ext_G,bp_rp0,G0,M_G0
1,1,KIC 2718885 ,0.1973335,0.013398926272284171,Gaia DR2 2051868403166068480,SO,Gaia DR2 2051868403166068480,292.71603109183144,0.016649980662659263,37.94378612611069,0.02315584215708483,0.8214350474324259,0.024399931516546187,33.665465999999995,-2.246178113206025,0.036311773880408835,-9.899243618670939,0.0406627641596603,-0.028885982999999997,0.029893046,-0.0043097809999999995,-0.13118039,0.45146796,-0.23110677,-0.07413556,-0.24118683,-0.03182788,-0.025278727999999997,225.0,0.0,225.0,0.0,-3.9056022000000006,147.31294,0.0,1.3549518332149436e-15,15.0,-0.09006498,0.0,14.6336155,1.0284014000000001,0.43793392,0.59046745,,,b'NOT_AVAILABLE',71.01245463977165,9.220455683941431,2.0518684031660685e+18,1177.13588322463,1144.00645873253,1212.2042215748,0.09428504295456923,0.1262476725161682,0.2583410176955197,0.9021537274838319,14.37527448230448,4.279482506392878
2,2,KIC 3112129 ,0.48765719,0.01740855914468574,Gaia DR2 2052805015271412224,SO,Gaia DR2 2052805015271412224,290.33718587692675,0.016548899690732716,38.204973334696895,0.018504881330205558,1.1589756199205,0.019811194966532133,58.501045,0.9145798375465878,0.03457485328247842,-1.504146237485985,0.032582323480937266,0.118953,0.08667494,-0.36805198,-0.10622179,0.35160968,-0.163415,-0.3494427,-0.19638057,-0.1740205,0.0763145,222.0,0.0,221.0,1.0,-0.5350741,204.42517,0.0,0.0,15.0,-0.06451034,0.0,14.36505,0.8912181999999998,0.36604309999999995,0.5251751,,,b'NOT_AVAILABLE',70.39615897825247,11.01120077704689,2.052805015271412e+18,842.073771822242,828.1492820858459,856.465795110062,0.057348095987636634,0.07678910052744545,0.15713378300612438,0.8144290994725544,14.207916216993876,4.738299297300644
3,3,KIC 4665571 ,0.76669043,0.01718812699651613,Gaia DR2 2076454445237794432,SO,Gaia DR2 2076454445237794432,294.66467890841784,0.02155887938552263,39.78384614536333,0.028650282818414693,1.9703387881105137,0.03246695495141298,60.687515000000005,-5.399380865709994,0.04670667199749262,4.723782057699784,0.0467933283189782,-0.08440735,-0.045229245,-0.006306073000000001,-0.08580895,0.53529376,-0.2211612,-0.10120249,-0.26677528,-0.07149958,-0.06973875,192.0,0.0,191.0,1.0,-0.6553738,173.00777,0.0,0.0,13.0,-0.16350046,0.0,14.904735999999998,1.2624559,0.56635475,0.6961012,,,b'NOT_AVAILABLE',73.37625317948009,8.734754824868673,2.0764544452377943e+18,500.394732562741,492.332327922295,508.72070924152604,0.03896993030317074,0.05218073667594562,0.10677760903068784,1.2102751633240543,14.79795839096931,6.408172352916427
4,4,KIC 4929299 ,0.43436157,0.013379394309788128,Gaia DR2 2053248805655536384,SO,Gaia DR2 2053248805655536384,293.35098297728257,0.019199596027797233,40.05967522037403,0.02276453365717313,1.3359543754552416,0.02548845952227756,52.41409,-2.1063171795444617,0.04185185451930639,-6.032990241927192,0.03955012970405659,0.021914093,0.0862829,0.052025642000000004,-0.087735094,0.43453732,-0.20773579999999997,-0.14759177,-0.26155785,-0.04226759,0.06294395,210.0,0.0,209.0,1.0,-3.6876260000000003,137.6979,0.0,0.0,15.0,0.006412629499999999,0.0,14.771975,1.0165205,0.43390942,0.5826110999999999,,,b'NOT_AVAILABLE',73.14762023529669,9.754654008362774,2.0532488056555364e+18,733.0193845416189,719.4693793942821,747.080044018148,0.042294332911115874,0.056632111767984154,0.1158864721764575,0.9598883882320158,14.656088527823542,5.446397701909337
5,5,KIC 5480884 ,0.23624272,0.0045704792240736074,Gaia DR2 2075060161424454528,SO,Gaia DR2 2075060161424454528,299.5467031361605,0.03940737671333622,40.68184833478606,0.0504010659568426,1.3182817609684647,0.057338476970218474,22.991224,-5.473581157016895,0.08356929583362559,-9.976987836008668,0.07595862275201304,-0.13995963,-0.23356444,-0.34098249999999997,-0.00346738,0.5975321,-0.08454910000000002,-0.25423989999999996,-0.07330693,-0.11803472,-0.04723145,196.0,0.0,196.0,0.0,-0.65741915,177.80049,0.0,0.0,13.0,-0.18095197,0.0,16.047815,1.3731383999999998,0.6207465999999999,0.7523918,,,b'NOT_AVAILABLE',76.01852534132306,5.937133293154982,2.075060161424455e+18,744.461390433857,713.710274042325,777.930043840061,0.08999305159256563,0.12050069608244537,0.24658096136362984,1.2526377039175545,15.80123403863637,6.68860410444371
6,6,KIC 5955905 ,0.51705775,0.02997040130999672,Gaia DR2 2101778809360993408,SO,Gaia DR2 2101778809360993408,290.36289482229733,0.018235526515163657,41.2097909578093,0.019585090238638244,0.560636070431716,0.021856210972679698,25.65111,-0.5124900564654753,0.03941632432016543,-9.945333543037515,0.03895516832575199,0.08428777,0.14504161,-0.055155378,-0.026128943999999998,0.20885566,-0.05038985,-0.21170042,-0.16079300000000002,-0.09027024,0.09406512,238.0,0.0,236.0,2.0,1.1499794,255.89558,0.0,0.0,15.0,0.12384895,0.0,14.954194000000001,0.73139095,0.28506279999999995,0.44632816,,,b'NOT_AVAILABLE',73.16931645380663,12.296942430847675,2.1017788093609933e+18,1696.8647684397502,1635.75329493605,1762.62267964488,0.06302181767921627,0.08438621387247058,0.17267978044105262,0.6470047361275294,14.781514219558948,3.805957836910707
7,7,KIC 6359893 ,0.18043173,0.01480104215146426,Gaia DR2 2101808393096586368,SO,Gaia DR2 2101808393096586368,290.38668527421095,0.03258497575439003,41.745252747382594,0.034231279298657595,0.5674380477044106,0.03571926308246826,15.886051,-2.0179010296378097,0.07911286627278079,-6.580722682175847,0.06450641973434068,-0.19740771,-0.17920233,-0.28019267,0.13313828,0.2133038,0.10799292,-0.3732371,-0.05007472599999999,-0.119962916,-0.12036572,230.0,0.0,230.0,0.0,-2.5919287,173.81213,0.0,0.0,16.0,-0.009938558,0.0,15.942159,0.8894576999999999,0.36527919999999997,0.5241785,,,b'NOT_AVAILABLE',73.67245560895087,12.510409611535742,2.1018083930965865e+18,1678.8681945999601,1581.83225076929,1788.2894219544698,0.05738615855340688,0.07684006630301181,0.15723807443633486,0.8126176336969881,15.784920925563664,4.817075991629199
8,8,KIC 6525946 ,0.49607106,0.012292115064175177,Gaia DR2 2077654287299877248,SO,Gaia DR2 2077654287299877248,292.9541991754485,0.02498263420722902,41.934802458723226,0.02995782673499704,0.6325989650622688,0.02723026747021187,23.231464000000003,2.1829863076876554,0.05301025579735865,-0.4338898866706614,0.05760871741442729,-0.18592449,0.009389114,-0.3746123,0.15116629,0.13569538,0.14746979,-0.52513725,-0.07735114,-0.09198338,-0.21702218,205.0,0.0,204.0,1.0,-1.0623639999999999,177.92996000000002,0.0,0.0,14.0,-0.07761744,0.0,15.334232,0.8390322,0.34000778,0.49902440000000003,,,b'NOT_AVAILABLE',74.705327102292,10.875901502924698,2.077654287299877e+18,1513.71505656409,1453.32992870475,1579.23054687253,0.07219113481661436,0.09666392951944663,0.19780370939752337,0.7423682704805534,15.136428290602476,4.434011346136465
9,9,KIC 8435766 ,0.35500753,0.011597335255387429,Gaia DR2 2078373642776670080,SO,Gaia DR2 2078373642776670080,293.741954257176,0.016715837021937064,44.44825211347275,0.022722066825606967,8.011261176282497,0.021162389869208213,378.56127999999995,38.059826563825595,0.0364873678063448,-16.110914640087348,0.04492381974777506,-0.09315879,0.044022907,-0.15731843,-0.011259163999999999,0.18143384,-0.054221988,-0.27834654,-0.1680203,0.04936161,-0.06331936,228.0,228.0,225.0,3.0,1.4802121000000001,251.80263,0.0,0.0,16.0,-0.0014877191,3.0,11.528678,1.1182365,0.49489403,0.6233425,-2.478648499733993,0.3941423586685935,b'NOT_AVAILABLE',77.25545804887568,11.499471736940768,2.0783736427766705e+18,124.3757049862,124.046735753032,124.706392540259,0.01489448713415502,0.01994371827263357,0.04081089474758476,1.0982927817273664,11.487867105252414,6.055000222859279
10,10,KIC 9642018 ,0.25255594,0.01374027056923879,Gaia DR2 2127378704229941120,SO,Gaia DR2 2127378704229941120,288.59680025255784,0.024731401690949843,46.32601682308961,0.026431896656244253,1.1218164766361391,0.027226033095549645,41.203815000000006,-3.3039553741370837,0.05495145062360311,-2.91563201239262,0.054800708961105664,0.09631282,0.12557337,-0.07652876,-0.13686362,0.24440508,-0.12578530000000002,-0.1948054,0.024418427000000003,-0.055732604000000005,0.05979686,227.0,0.0,226.0,1.0,-1.8169308000000002,184.36835,0.0,0.0,16.0,0.014402413000000001,0.0,15.546335000000001,1.1271219,0.49161530000000003,0.63550663,,,b'NOT_AVAILABLE',77.43120276636174,15.567031455214233,2.1273787042299407e+18,869.421551110714,849.1621521709241,890.652680781875,0.028512735254907752,0.03817855250632148,0.07812489459844725,1.0889433474936785,15.468210105401553,5.850182993877164
