,gaia_id,koi_disposition,koi_score,pl_hostname,pl_orbper,pl_orbsmax,source,designation,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,visibility_periods_used,mean_varpi_factor_al,rv_nb_transits,phot_g_mean_mag,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,phot_variable_flag,l,b,source_id,distance,r_lo,r_hi,petigura_radial_velocity,ra_prop,dec_prop,LAMOST_radial_velocity,gaia_rv,rv_source,ext_B_V,ext_bp_rp,ext_G,bp_rp0,G0,M_G0,gal_U,gal_V,gal_W,gal_u,gal_v,gal_w
0,Gaia DR2 2051027792165858304,CANDIDATE,0.858,KIC 1717722,0.9773114890000001,0.0175,DR25,Gaia DR2 2051027792165858304,290.61785865121726,0.025212495802275473,37.289100186011964,0.0316580572466106,1.659279938858944,0.034851129318442885,47.610508,-14.246097857592902,0.055612457773605,4.020801302441214,0.06655508995328446,-0.012762861,0.17353858,-0.059895534,-0.12373506,0.2697681,-0.114191644,-0.07630689,-0.08195538,-0.23710889,-0.1722831,220.0,0.0,217.0,3.0,-1.9030148,174.59286,0.0,1.3802802276888771e-15,15.0,-0.013082924,0.0,15.65396,1.3381376,0.60312176,0.73501587,,,b'NOT_AVAILABLE',69.65881033538089,10.408561561067337,2.0510277921658583e+18,592.711179085082,580.620392564064,605.306786312423,,290.6179357480236,37.289082874203565,,, ,0.03605854281285769,0.048282388826416445,0.09880040730723008,1.2898552378215329,15.555159820659078,6.789745589066435,,,,206.04697770987258,555.7892657077587,108.88223895956196
1,Gaia DR2 2099092015260131328,CANDIDATE,,KIC 2283362,0.673141323,0.0148,DR25,Gaia DR2 2099092015260131328,286.11073603687487,0.030227730284362854,37.61183158866813,0.03578926244090064,0.9190860122466284,0.04041419377437409,22.741663,-1.8330086576854467,0.06705700544519488,-4.094189362105931,0.06900441150359798,-0.23472397,-0.16226402,-0.1467248,0.07040099,0.3915584,-0.01296948,-0.1915027,-0.11929221,-0.22441678,-0.1130113,212.0,0.0,212.0,0.0,1.4942547,238.18361,0.08306734913885842,0.5897581799943364,14.0,-0.121659175,0.0,15.761606,1.0984678,0.4745121,0.6239557,,,b'NOT_AVAILABLE',68.40878437061932,13.786588244433245,2.0990920152601313e+18,1056.34337704938,1012.76301672453,1103.76353919389,,286.1107459996176,37.611849216427466,,, ,0.06560208136403464,0.08784118694644238,0.17974970293745493,1.0106266398968193,15.581856513493209,5.642580647613036,,,,388.8432412605808,982.546283470462,259.2859899283259
2,Gaia DR2 2099158295194377216,CANDIDATE,0.987,KIC 2696205,0.702739679,0.0145,DR25,Gaia DR2 2099158295194377216,286.8984123937006,0.021729937728998543,37.937436272962984,0.026040354008471586,1.5108434673048337,0.027641461053725995,54.658596,0.16088617777770686,0.048667948878176576,0.46210838318443376,0.047643789113861475,0.028981883,0.014399354,-0.2925789,-0.03308046,0.35667297,-0.08376904,-0.24277258,-0.15258971,-0.10166455,0.06544588,234.0,9.0,233.0,1.0,3.0178988,297.9097,0.11024542639207928,1.8307935818952705,17.0,0.077883005,0.0,14.960208,1.1280279,0.48573875,0.64228916,-25.61,,b'NOT_AVAILABLE',68.9751297303346,13.350064944348066,2.0991582951943772e+18,649.686906555011,638.136379517413,661.655454881754,,286.8984115153949,37.93743428332967,-25.61,,LAMOST,0.038113527706598135,0.051034013599134904,0.1044310659160789,1.076993902355455,14.85577687323187,5.896688321256526,0.721403445209696,-10.498889347918775,1.4658099392592874,231.0484975607306,601.1220553516745,152.82854546106017
3,Gaia DR2 2099950424601512704,CANDIDATE,0.894,KIC 2970670,0.947554749,0.0186,DR25,Gaia DR2 2099950424601512704,286.07113720219616,0.012031459885392615,38.16753699539005,0.015084754072665029,1.8391740219223978,0.015159371527559093,121.32258,-1.082982386011121,0.025827604932293968,-10.10092972833041,0.02950551872076239,-0.07505814,-0.1486329,-0.18380839,0.04196542,0.2360862,0.01614963,-0.33863115,-0.09089066,-0.008630655,-0.012692447,239.0,0.0,238.0,1.0,-5.765619,128.93375,0.0,0.0,17.0,0.07580166,0.0,13.823273,0.9526682,0.40127087,0.5513973,,,b'NOT_AVAILABLE',68.91991163518728,14.038854643225418,2.0999504246015127e+18,535.331299714796,530.989101821157,539.743811271541,,286.0711431330041,38.16758048550401,,, ,0.03291679594034002,0.04407558976411528,0.09019202087653166,0.9085926002383261,13.733080684201592,5.180159522944944,,,,189.72080590669583,492.1823059995137,131.89607570776892
4,Gaia DR2 2052619541406162304,CANDIDATE,0.988,KIC 2986833,0.912179022,0.0155,DR25,Gaia DR2 2052619541406162304,290.7820813307505,0.029120238954177213,38.18759849616094,0.038553115202469464,3.320040897846187,0.036168998292076954,91.79245,-7.91524972465372,0.06559884080494728,-39.60394601539209,0.07554973970796679,-0.14029789,-0.035863556,-0.25357956,0.14020115,0.12670934,0.15446651,-0.4211224,0.009857939,-0.06937721,-0.18033521,221.0,0.0,218.0,3.0,2.0862644,258.26807,0.12981252110834973,1.4580649127637677,15.0,-0.0064644376,0.0,15.804652,2.0089226,0.9991083,1.0098143,,,b'NOT_AVAILABLE',70.53690076888417,10.68957225769281,2.0526195414061624e+18,298.654517573842,295.438344065095,301.940207005756,,290.78212468956633,38.18776901314275,,, ,0.026633115603450715,0.03566174179302051,0.07297473675345496,1.9732608351112764,15.731677477296838,8.428807725455776,,,,98.61849691851891,279.06117787269216,55.86912446029264
5,Gaia DR2 2099952589265076864,CANDIDATE,0.862,KIC 3098605,0.42804605100000004,0.0104,DR25,Gaia DR2 2099952589265076864,286.147743318565,0.022664567946327804,38.2417330076856,0.026360626249983716,1.4545870197578796,0.029303826894036183,49.638126,-5.73129849728104,0.051397363271917906,-13.841385921736315,0.050287218446071105,-0.06868826,-0.15994835,0.0021148378,-0.05018428,0.36228672,-0.09533768,-0.18329293,-0.057502292,-0.12731208,-0.014768536,208.0,0.0,208.0,0.0,-0.8453171,185.81007,0.0,0.0,17.0,0.065147005,0.0,15.245423,1.133296,0.49290752,0.6403885,,,b'NOT_AVAILABLE',69.01486482629844,14.013510898187898,2.0999525892650767e+18,674.368679135193,661.198531143447,688.064267579016,,286.1477747372662,38.241792602537465,,, ,0.04084953255471751,0.054697524090766746,0.11192771919992599,1.0785984887876512,15.13349559775564,6.10093540628494,,,,238.87696913431324,622.7788457823856,166.47384386758426
6,Gaia DR2 2052805015271412224,CANDIDATE,0.999,KIC 3112129,0.48765627799999994,0.0122,DR25,Gaia DR2 2052805015271412224,290.33718587692675,0.016548899690732716,38.2049733346969,0.018504881330205558,1.1589756199205001,0.019811194966532133,58.501045,0.9145798375465878,0.03457485328247842,-1.504146237485985,0.03258232348093727,0.118953,0.08667494,-0.36805198,-0.10622179,0.35160968,-0.163415,-0.3494427,-0.19638057,-0.1740205,0.0763145,222.0,0.0,221.0,1.0,-0.5350741,204.42517,0.0,0.0,15.0,-0.06451034,0.0,14.36505,0.8912182,0.3660431,0.5251751,19.9,,b'NOT_AVAILABLE',70.39615897825247,11.01120077704689,2.0528050152714122e+18,842.073771822242,828.149282085846,856.465795110062,19.9,290.3371808657808,38.204979810881994,,,Petigura,0.057348095987636634,0.07678910052744545,0.15713378300612438,0.8144290848973592,14.20791653285081,4.738300566831894,21.70860378251491,30.425436535721264,5.104766342317741,284.16280277465864,797.8528509114396,164.80147370023252
7,Gaia DR2 2052736123999181824,CONFIRMED,0.99,KIC 3444588,0.928310036,0.0159,DR25,Gaia DR2 2052736123999181824,291.69247728251435,0.027708244406420526,38.57291052400289,0.034720163455971065,1.95791255754333,0.0361629764598275,54.141354,2.115714145159915,0.06280975342384174,5.421978117045681,0.06687848651548098,0.061270602,0.045007695,0.04124659,-0.04009774,0.30254048,-0.10892286,-0.3544613,-0.19407856,0.021636697,0.06828706,223.0,0.0,222.0,1.0,-0.24091741,211.36389,0.0,0.0,15.0,0.05867313,0.0,15.861248,1.6623316,0.7990017,0.8633299,,,b'NOT_AVAILABLE',71.2109162188406,10.222193240697418,2.0527361239991818e+18,503.567808164261,494.49054800687,512.978358556887,,291.69246563101404,38.57288717937432,,, ,0.032343376578706576,0.04330778123888811,0.08862085182565603,1.6190237998768346,15.772627164531766,7.3509582215640314,,,,161.89321494040553,475.85551064467757,90.64038643766766
8,Gaia DR2 2052318928058968064,CANDIDATE,1.0,KIC 3550372,0.681180633,0.0146,DR25,Gaia DR2 2052318928058968064,292.90773741400034,0.018667873663882298,38.6830555239982,0.022473362569598965,0.34461357751563604,0.022928964968042073,15.029617,3.400185853619043,0.040476226910493296,-5.731814087798162,0.04490547770314507,0.0036221554,0.029765606,-0.22077268,0.021479644,0.18714635,0.008018353,-0.35076204,-0.093728684,-0.005914168,-0.023451766,238.0,0.0,237.0,1.0,-0.6606475,217.41914,0.0,0.0,16.0,0.03301008,0.0,15.095793,1.2328606,0.546093,0.6867676,-61.59,,b'NOT_AVAILABLE',71.74795894134037,9.426311549027774,2.052318928058968e+18,2680.44177112623,2521.89566149431,2859.7558224231,,292.9077186599553,38.683080202640696,-61.59,,LAMOST,0.09864959755467144,0.13209181112570506,0.27029989729979975,1.1007687540598419,14.825492873085942,2.954760884288202,42.17936565765953,-48.57738030813292,-79.54320216751859,896.5649462248751,2718.5940328072234,475.25406253649135
9,Gaia DR2 2073163877511675392,CANDIDATE,0.815,KIC 3867794,0.49424766200000003,0.0127,DR25,Gaia DR2 2073163877511675392,295.7377470194213,0.026047152507238384,38.90387947782015,0.03056952467494703,0.8710817085852077,0.033192143974537784,26.24361,7.4306057360086815,0.0591369513121294,-2.53883893392205,0.05858952895845434,0.07856283,0.044637665,-0.21263765,0.02219888,0.31535533,0.025069984,-0.26915208,-0.03626051,-0.1874984,-0.04565278,236.0,0.0,235.0,1.0,-0.5465729,217.83177,0.0,0.0,16.0,0.054387383,0.0,15.693281,1.0286512,0.43795395,0.5906973,,,b'NOT_AVAILABLE',72.9962327494611,7.585205580638119,2.0731638775116754e+18,1113.28934618658,1073.27964873779,1156.3392083943,,295.73770590805543,38.903890408925015,,, ,0.09084027298398234,0.12163512552555235,0.24890234797611163,0.9070161119622406,15.444378825729943,5.4602409085422074,,,,332.7765698294698,1088.2075973616897,151.5362377057158
