kepid,kepler_name,koi_disposition,koi_score,koi_period,koi_sma,ra,dec,koi_kepmag
3444588,Kepler-787 b,CONFIRMED,0.9900,0.928310036,0.0159,291.692470,38.572899,15.854
3445812,,FALSE POSITIVE,0.0000,0.605556082,0.0137,291.983700,38.595409,14.990
3446451,,FALSE POSITIVE,0.0000,0.64234875,0.0174,292.137450,38.599419,12.305
3448323,,FALSE POSITIVE,0.0000,0.513482156,0.0121,292.640170,38.513569,15.630
3448456,,FALSE POSITIVE,0.0000,0.776950288,0.0163,292.672940,38.589970,15.832
3458687,,FALSE POSITIVE,0.0000,0.98376204,0.0241,295.087740,38.562061,12.745
3458919,,FALSE POSITIVE,0.0000,0.892061734,0.0173,295.140290,38.597542,13.815
3542222,,FALSE POSITIVE,0.0000,0.504426087,0.0117,290.749180,38.659111,15.213
3547315,,FALSE POSITIVE,0.0000,0.64234865,0.0136,292.137330,38.602348,16.639
3550372,,CANDIDATE,1.0000,0.681180633,0.0146,292.907710,38.683090,15.069
3556220,,FALSE POSITIVE,0.0000,0.796722833,0.016,294.350490,38.602131,13.379
3556229,,FALSE POSITIVE,0.0000,0.7967202,0.0169,294.351960,38.604702,17.656
3556742,,FALSE POSITIVE,0.0000,0.823014905,0.0159,294.472530,38.675510,14.221
3557341,,FALSE POSITIVE,0.0000,0.393727296,0.0101,294.618930,38.611889,15.856
3557493,,FALSE POSITIVE,,0.393726813,0.0108,294.651210,38.636459,15.025
3645282,,FALSE POSITIVE,0.0000,0.673684895,0.0147,291.359100,38.718910,14.420
3656700,,FALSE POSITIVE,0.0000,0.738527259,0.0175,294.258180,38.706928,12.997
3659940,,FALSE POSITIVE,0.0000,0.89627093,0.0172,295.004640,38.775478,15.261
3662635,,FALSE POSITIVE,0.0000,0.939375593,0.0172,295.569340,38.726059,14.904
3730335,,FALSE POSITIVE,0.0000,0.596087893,0.0148,285.919430,38.871815,13.484
3746248,,FALSE POSITIVE,,0.62240698,0.0157,291.259800,38.897999,12.920
3751231,,FALSE POSITIVE,0.0010,0.570953851,0.0143,292.588650,38.801430,15.212
3834322,,FALSE POSITIVE,0.0000,0.498434645,0.0112,286.049900,38.960201,15.397
3846515,,FALSE POSITIVE,0.1360,0.888045184,0.0197,290.330260,38.917721,12.807
3848919,,FALSE POSITIVE,0.0000,0.52363021,0.0113,291.056340,38.974411,13.901
3848948,,FALSE POSITIVE,0.7910,0.523632451,0.0166,291.064270,38.970661,10.061
3848972,,FALSE POSITIVE,0.0000,0.741057213,0.0152,291.071260,38.999039,14.489
3851134,,FALSE POSITIVE,0.0000,0.91849333,0.02,291.694270,38.986462,13.476
3851194,,FALSE POSITIVE,0.0000,0.918510251,0.0198,291.710540,38.962730,13.815
3853673,,FALSE POSITIVE,0.0000,0.643794198,0.0142,292.352870,38.942471,15.103
3867794,,CANDIDATE,0.8150,0.494247662,0.0127,295.737730,38.903912,15.666
3954211,,FALSE POSITIVE,0.0000,0.594274521,0.0147,291.490510,39.048660,15.676
3954227,,FALSE POSITIVE,,0.594276199,0.012,291.492860,39.050152,15.985
3972391,,FALSE POSITIVE,,0.634131057,0.0144,295.888430,39.027901,12.939
4037163,,FALSE POSITIVE,0.0000,0.635441862,0.0145,285.080140,39.183899,16.675
4037164,,FALSE POSITIVE,0.0000,0.635445336,0.0119,285.080260,39.182110,15.432
4055304,Kepler-1107 b,CONFIRMED,1.0000,0.571038347,0.0126,291.049930,39.141670,14.098
4067110,,FALSE POSITIVE,0.0000,0.735146413,0.022,294.088960,39.128101,12.855
4069063,,FALSE POSITIVE,,0.504296702,0.012,294.558440,39.137650,13.318
4074294,,FALSE POSITIVE,0.0000,0.892988877,0.0208,295.722750,39.183449,13.013
4077252,,FALSE POSITIVE,0.0000,0.534109403,0.018,296.307160,39.117119,12.314
4136659,,FALSE POSITIVE,0.0000,0.913244995,0.0185,284.911560,39.298618,13.343
4138557,,FALSE POSITIVE,0.0000,0.991552822,0.0193,285.592100,39.206268,11.968
4144576,Kepler-1139 b,CONFIRMED,1.0000,0.813166357,0.0165,287.945620,39.230572,14.113
4150611,,FALSE POSITIVE,1.0000,0.761119678,0.0157,289.742490,39.267059,7.899
4157052,,FALSE POSITIVE,0.0000,0.791771167,0.0198,291.486540,39.211723,13.852
4175105,,FALSE POSITIVE,0.0000,0.60818508,0.0137,295.585480,39.299259,14.538
4349935,,FALSE POSITIVE,0.0000,0.792023257,0.0142,286.829830,39.469559,14.498
4355503,,FALSE POSITIVE,0.0000,0.570828503,0.01,288.868530,39.496132,15.068
4367854,,FALSE POSITIVE,0.0000,0.535224793,0.0115,292.379030,39.435841,14.937
4372410,,FALSE POSITIVE,0.0000,0.550537628,0.0161,293.526820,39.404831,11.456
4373195,,FALSE POSITIVE,0.0000,0.56256804,0.0166,293.720000,39.446449,9.121
4374339,,FALSE POSITIVE,0.0000,0.993703494,0.0234,293.983460,39.430420,12.928
4380283,,FALSE POSITIVE,0.0000,0.872359598,0.0178,295.319000,39.480049,14.742
4380560,,FALSE POSITIVE,0.0000,0.705816203,0.0158,295.381500,39.453732,15.062
4381282,,FALSE POSITIVE,0.0000,0.497581917,0.0105,295.535340,39.408180,15.481
4390912,,FALSE POSITIVE,0.0000,0.687506554,0.0147,297.333770,39.447590,12.467
4446411,,FALSE POSITIVE,0.0000,0.62927655,0.0136,285.410000,39.528370,14.027
4455763,,FALSE POSITIVE,0.0000,0.766298172,0.0163,289.076510,39.570438,15.581
4456622,,FALSE POSITIVE,0.0000,0.751408792,0.0154,289.324340,39.582581,15.596
4479633,,FALSE POSITIVE,0.0000,0.475068516,0.0121,295.518250,39.593391,14.255
4480676,,FALSE POSITIVE,0.0000,0.711966971,0.0141,295.731930,39.587521,15.469
4482738,,FALSE POSITIVE,0.0000,0.866344816,0.0168,296.139010,39.579632,12.945
4484356,,FALSE POSITIVE,0.0000,0.572079631,0.0116,296.459720,39.573738,14.235
4489844,,FALSE POSITIVE,0.0000,0.822314545,0.0161,297.550540,39.565659,13.230
4544628,,FALSE POSITIVE,0.0000,0.729724346,0.016,285.901790,39.654411,12.546
4551328,,FALSE POSITIVE,0.0000,0.52205862,0.012,288.653590,39.664310,15.636
4568117,,FALSE POSITIVE,0.0000,0.562563871,0.014,293.488250,39.696331,13.540
4568298,,FALSE POSITIVE,0.0000,0.562555067,0.013,293.536290,39.690090,15.945
4571536,,FALSE POSITIVE,0.0000,0.676715927,0.0135,294.345180,39.683929,15.713
4579598,,FALSE POSITIVE,0.0000,0.866346,0.0183,296.112760,39.611599,13.789
4645833,,FALSE POSITIVE,0.0000,0.743495989,0.0146,289.078370,39.708820,15.222
4663658,,FALSE POSITIVE,0.0000,0.705891195,0.0214,294.207820,39.789291,11.321
4665571,,CANDIDATE,1.0000,0.766691517,0.015,294.664700,39.783829,14.903
4729553,,FALSE POSITIVE,0.0000,0.961292561,0.0197,285.727540,39.841282,12.221
4732015,,FALSE POSITIVE,0.0000,0.938857507,0.0203,286.825200,39.802509,10.147
4732015,,FALSE POSITIVE,,0.939740093,0.0232,286.825200,39.802509,10.147
4739565,,FALSE POSITIVE,0.0000,0.898932836,0.0192,289.639680,39.899761,14.173
4764969,,CANDIDATE,,0.602277579,0.0139,296.322020,39.856049,12.361
4774646,,FALSE POSITIVE,0.0000,0.559517155,0.0139,298.275210,39.850971,13.741
4832175,,FALSE POSITIVE,0.0000,0.947738312,0.0164,290.731540,39.920269,15.761
4832197,,FALSE POSITIVE,0.0000,0.94773253,0.0182,290.738040,39.919651,11.510
4832225,,FALSE POSITIVE,0.0000,0.947730124,0.0248,290.746610,39.911030,9.072
4840263,,FALSE POSITIVE,0.0000,0.957823876,0.0197,293.121610,39.975552,13.988
4843592,,FALSE POSITIVE,0.0000,0.967073359,0.0189,294.023470,39.924080,15.120
4844004,,FALSE POSITIVE,0.0000,0.784031658,0.0163,294.132020,39.981979,15.479
4848115,,FALSE POSITIVE,0.0020,0.969602551,0.017,295.142670,39.930710,15.522
4852528,Kepler-80 f,CONFIRMED,1.0000,0.986785834,0.0162,296.112580,39.978779,14.804
4862332,,FALSE POSITIVE,0.0020,0.8903331,0.0272,298.161290,39.900970,13.915
4863260,,FALSE POSITIVE,0.0000,0.987069622,0.0208,298.348210,39.976280,13.114
4902030,,FALSE POSITIVE,0.0000,0.878803439,0.0162,283.611570,40.056240,15.929
4917014,,FALSE POSITIVE,0.0000,0.796815149,0.021,289.769200,40.021091,11.971
4929299,,FALSE POSITIVE,0.0000,0.868723418,0.0169,293.351010,40.059711,14.774
4946584,,FALSE POSITIVE,0.0000,0.907943645,0.0191,297.360470,40.056141,13.819
4949214,,FALSE POSITIVE,0.0000,0.922030594,0.0196,297.930690,40.014961,14.351
4950232,,FALSE POSITIVE,0.0010,0.979442525,0.0181,298.140530,40.073872,15.747
5008501,,CANDIDATE,0.0450,0.968026356,0.0207,291.019710,40.177589,14.479
5018787,,FALSE POSITIVE,0.0000,0.607191908,0.0122,293.991240,40.189640,15.428
5024126,,FALSE POSITIVE,0.0000,0.787122102,0.0154,295.273740,40.133659,15.626
5024138,,FALSE POSITIVE,0.0000,0.416995408,0.0097,295.274870,40.195080,14.964
5024177,,FALSE POSITIVE,0.0000,0.787120016,0.0147,295.281100,40.132858,14.964
5024372,,FALSE POSITIVE,,0.561524348,0.0116,295.311770,40.197590,14.564
5033823,,CANDIDATE,1.0000,0.741768294,0.0186,297.273250,40.136761,13.469
5040077,,CANDIDATE,0.9990,0.896382269,0.0171,298.539670,40.183659,14.603
5040223,,FALSE POSITIVE,0.0000,0.996023763,0.0197,298.566680,40.128239,14.705
5041847,,FALSE POSITIVE,0.0000,0.914468919,0.018,298.912780,40.110851,14.582
5078025,,FALSE POSITIVE,0.0000,0.696286519,0.0152,283.723790,40.237560,15.034
5078025,,FALSE POSITIVE,0.0000,0.696290095,0.0152,283.723790,40.237560,15.034
5092655,,FALSE POSITIVE,,0.783258387,0.0147,289.791350,40.299431,15.729
5094301,,FALSE POSITIVE,,0.99519559,0.0175,290.269100,40.202160,10.291
5095635,,CANDIDATE,1.0000,0.754457729,0.0158,290.684690,40.255451,14.482
5097278,,FALSE POSITIVE,,0.73240662,0.0185,291.196200,40.261959,11.396
5108946,,FALSE POSITIVE,0.0000,0.591280187,0.0146,294.471250,40.278759,15.046
5111801,,FALSE POSITIVE,0.0000,0.562006231,0.0139,295.173680,40.290157,9.807
5119143,,FALSE POSITIVE,,0.530799654,0.014,296.684510,40.290588,12.328
5125048,,FALSE POSITIVE,0.0000,0.56818769,,298.020260,40.265659,11.941
5128966,,FALSE POSITIVE,0.0000,0.505322676,0.0123,298.895630,40.289490,14.457
5130563,,FALSE POSITIVE,0.0000,0.915782856,0.0195,299.186860,40.205929,13.806
5130890,,FALSE POSITIVE,,0.91057795,,299.246830,40.298660,11.965
5131276,,FALSE POSITIVE,0.9280,0.66882716,0.0231,299.321560,40.265339,11.598
5171707,,CANDIDATE,1.0000,0.813998812,0.0168,286.748570,40.365440,15.567
5174492,,FALSE POSITIVE,0.0000,0.720589427,0.0201,287.888820,40.386768,12.051
5174920,,FALSE POSITIVE,0.0000,0.950487062,0.0242,288.053160,40.369499,11.633
5175986,Kepler-1320 b,CONFIRMED,0.0000,0.868386354,0.0163,288.433590,40.380878,15.898
5196851,,FALSE POSITIVE,,0.541396363,0.0143,294.541050,40.308029,12.509
5199978,,FALSE POSITIVE,0.0000,0.550509602,0.0136,295.313020,40.352341,13.355
5201593,,FALSE POSITIVE,0.0000,0.50727675,0.0132,295.665250,40.363739,13.639
5208962,,CANDIDATE,0.9690,0.876850385,0.0197,297.191990,40.387951,14.878
5211470,,FALSE POSITIVE,0.0000,0.938074536,0.0224,297.708470,40.307590,13.094
5215508,,CANDIDATE,,0.8867443,,298.499940,40.333672,11.270
5215700,,FALSE POSITIVE,0.0000,0.656201038,0.0152,298.530400,40.398460,15.168
5216727,,FALSE POSITIVE,0.0000,0.756511623,0.0171,298.712490,40.341228,13.448
5217574,,FALSE POSITIVE,0.0000,0.89486317,0.0179,298.900120,40.303589,15.863
5269407,,FALSE POSITIVE,0.0000,0.958871144,0.0175,290.090790,40.461830,14.164
5271803,,FALSE POSITIVE,,0.5402463,0.0147,290.799190,40.411560,13.681
5282437,,FALSE POSITIVE,,0.992799002,0.0199,293.940120,40.447189,15.106
5282477,,FALSE POSITIVE,0.0000,0.992798625,0.0203,293.947940,40.455818,15.040
5300878,,FALSE POSITIVE,0.0000,0.639721284,0.0123,298.081880,40.478142,14.767
5301955,,FALSE POSITIVE,,0.68396452,,298.288970,40.468819,12.939
5306383,,FALSE POSITIVE,0.0000,0.842336445,0.0171,299.122860,40.489071,13.319
5307990,,FALSE POSITIVE,0.0010,0.98762513,0.0253,299.436000,40.477852,12.234
5308387,,FALSE POSITIVE,0.0000,0.620739667,0.0154,299.507510,40.477428,12.878
5308663,,FALSE POSITIVE,0.0000,0.784512952,0.0166,299.556000,40.456551,15.590
5308666,,FALSE POSITIVE,0.0000,0.784513087,0.0201,299.556340,40.460297,13.819
5308777,,FALSE POSITIVE,0.0000,0.944598153,0.0243,299.577300,40.498508,13.199
5340878,Kepler-1566 b,CONFIRMED,0.1460,0.539915033,0.0121,283.587620,40.574928,14.311
5371777,Kepler-1589 b,CONFIRMED,0.9920,0.991659646,0.0205,294.441800,40.571678,14.978
5387843,,FALSE POSITIVE,0.4060,0.870693883,0.0175,298.133910,40.530289,14.996
5388229,,FALSE POSITIVE,,0.61810542,0.0134,298.211180,40.512501,14.684
5389632,,FALSE POSITIVE,0.0050,0.474811162,0.0118,298.483250,40.585949,15.733
5391407,,FALSE POSITIVE,0.0000,0.638697833,0.0156,298.810520,40.540199,14.068
5391911,,FALSE POSITIVE,0.5580,0.782068488,0.0207,298.896730,40.578529,11.378
5397905,,FALSE POSITIVE,0.0000,0.618060842,0.0128,299.998200,40.550259,13.426
5428471,,FALSE POSITIVE,0.0000,0.75499096,0.016,284.348480,40.690659,15.708
5428668,,FALSE POSITIVE,0.0000,0.703399912,0.0155,284.444700,40.693508,15.728
5436161,,CANDIDATE,,0.644322147,0.0124,287.759160,40.657040,14.999
5440651,,FALSE POSITIVE,,0.502807253,0.0109,289.390780,40.654781,15.341
5444276,,CANDIDATE,,0.708965461,0.0164,290.485530,40.630699,12.798
5444334,,FALSE POSITIVE,0.0000,0.759763198,0.0158,290.501250,40.694500,15.916
5444392,,FALSE POSITIVE,0.0000,0.759764419,0.017,290.517400,40.696812,11.378
5444491,,FALSE POSITIVE,0.0000,0.759740194,0.0169,290.552550,40.688759,14.920
5456319,,FALSE POSITIVE,0.0000,0.937923475,0.0181,294.116490,40.681061,14.403
5471566,,FALSE POSITIVE,0.0000,0.9628348,0.0186,297.687590,40.670361,15.466
5471574,,FALSE POSITIVE,0.0000,0.962827066,0.0218,297.688810,40.643661,13.398
5471606,,FALSE POSITIVE,0.0000,0.962835804,0.0197,297.699740,40.641468,10.820
5471675,,FALSE POSITIVE,0.0000,0.962828092,0.0228,297.720370,40.650200,13.306
5471688,,FALSE POSITIVE,,0.96283264,0.0178,297.725040,40.644310,15.056
5471690,,FALSE POSITIVE,,0.962815183,0.0211,297.725310,40.640789,12.876
5474733,,FALSE POSITIVE,0.0000,0.883778461,0.0176,298.394900,40.628910,14.063
5475431,,CANDIDATE,0.7330,0.917568975,0.0186,298.513700,40.639622,14.456
5475494,,FALSE POSITIVE,0.0000,0.73619448,0.0167,298.526030,40.612091,15.145
5476671,,FALSE POSITIVE,0.0000,0.824180121,0.0168,298.755280,40.665218,14.638
5476671,,FALSE POSITIVE,0.0000,0.824181335,0.0168,298.755280,40.665218,14.638
5479717,,FALSE POSITIVE,0.0000,0.697996932,0.0141,299.332340,40.695030,15.859
5480884,,FALSE POSITIVE,0.0000,0.708726708,0.0125,299.546720,40.681911,15.986
5512513,,FALSE POSITIVE,0.0900,0.77459856,,283.698910,40.768040,14.737
5513012,Kepler-1310 b,CONFIRMED,1.0000,0.679336747,0.0148,283.920040,40.740131,14.159
5513822,,FALSE POSITIVE,,0.755109271,0.0153,284.322940,40.715210,13.292
5513833,,FALSE POSITIVE,0.0000,0.755101141,0.0092,284.330020,40.736401,15.237
5513857,,FALSE POSITIVE,0.0000,0.755101928,0.0153,284.348390,40.728260,15.443
5513861,,FALSE POSITIVE,0.0000,0.755105584,0.0173,284.352170,40.714710,11.638
5513866,,FALSE POSITIVE,0.0000,0.755111225,0.0163,284.354460,40.723286,13.573
5513893,,FALSE POSITIVE,0.0000,0.755103143,0.0174,284.369020,40.718491,13.009
5513897,,FALSE POSITIVE,0.0000,0.755109106,0.0157,284.371830,40.712971,13.974
5529552,,FALSE POSITIVE,0.0000,0.759768478,0.0158,290.488710,40.725182,15.318
5529560,,FALSE POSITIVE,0.0000,0.759755409,0.0172,290.490570,40.722191,15.259
5529643,,FALSE POSITIVE,0.0000,0.759766456,0.0168,290.511050,40.708569,15.932
5529738,,FALSE POSITIVE,0.0000,0.759762021,0.0171,290.536070,40.705849,14.871
5536715,,FALSE POSITIVE,,0.935086665,0.0203,292.778930,40.795631,13.993
5556726,,FALSE POSITIVE,0.0000,0.962825082,0.0216,297.620540,40.763020,12.173
5559651,,FALSE POSITIVE,0.0000,0.514771509,0.0124,298.225430,40.783989,14.198
5560830,,FALSE POSITIVE,0.0000,0.867719291,0.0179,298.494510,40.733608,14.445
5560831,,FALSE POSITIVE,0.0000,0.867721348,0.0173,298.494570,40.731586,16.090
5563080,,FALSE POSITIVE,0.0000,0.785473311,0.0155,298.923610,40.749538,14.333
5563937,,FALSE POSITIVE,0.0000,0.519437968,0.013,299.085360,40.774529,15.421
5598595,,FALSE POSITIVE,0.0000,0.648774274,0.013,283.752530,40.842369,15.399
5598639,,FALSE POSITIVE,0.0000,0.648775795,0.0136,283.777440,40.842037,10.201
5598645,,FALSE POSITIVE,0.0000,0.648772102,0.016,283.780030,40.818779,11.693
5621294,,FALSE POSITIVE,0.0000,0.938905082,0.0237,292.219270,40.893330,13.613
5621299,,FALSE POSITIVE,0.0000,0.93891532,0.021,292.220490,40.885670,13.910
5636642,,FALSE POSITIVE,0.0000,0.933489066,0.0178,296.330840,40.896259,16.428
5636648,,FALSE POSITIVE,0.0000,0.466743525,0.0116,296.333190,40.896259,15.330
5640511,,FALSE POSITIVE,,0.63624396,,297.156620,40.898788,11.290
5642620,,FALSE POSITIVE,0.0000,0.493393859,0.0106,297.590850,40.814960,15.398
5647008,,FALSE POSITIVE,0.4930,0.799868354,0.0161,298.526790,40.858391,14.335
5649833,,FALSE POSITIVE,0.0000,0.597933473,0.0147,299.078830,40.832291,13.364
5649836,,FALSE POSITIVE,0.0000,0.597933142,0.0139,299.079190,40.828976,16.377
5649837,,FALSE POSITIVE,0.0000,0.597934463,0.0136,299.079440,40.825642,15.248
5651829,,FALSE POSITIVE,0.9650,0.772152075,0.0163,299.465240,40.891090,13.308
5695904,,FALSE POSITIVE,0.0000,0.423854275,0.008,288.719790,40.986141,15.586
5696518,,FALSE POSITIVE,,0.96391996,,288.929080,40.917622,14.002
5696909,,FALSE POSITIVE,0.0000,0.643002821,0.0136,289.071110,40.978809,14.984
5696918,,FALSE POSITIVE,0.0000,0.643007769,0.011,289.073820,40.977531,14.800
5709103,,FALSE POSITIVE,0.0000,0.664727127,0.0149,292.932950,40.986401,12.879
5709889,,FALSE POSITIVE,1.0000,0.526887517,0.0103,293.170960,40.995590,14.694
5725087,,FALSE POSITIVE,0.0000,0.366197145,0.0122,296.967900,40.926769,11.059
5730380,,FALSE POSITIVE,0.0000,0.954873008,0.0182,298.058320,40.943069,11.800
5773121,,CANDIDATE,1.0000,0.524175803,0.0123,285.331540,41.063911,15.040
5785279,,CANDIDATE,0.8850,0.909127736,0.0177,290.012450,41.089989,15.195
5801571,,FALSE POSITIVE,0.0000,0.838597429,0.0188,294.913300,41.074711,14.784
5802246,,FALSE POSITIVE,0.0000,0.525154153,0.0119,295.098660,41.007038,15.058
5816165,,FALSE POSITIVE,0.0000,0.591914504,0.0123,298.200350,41.011688,15.643
5817986,,FALSE POSITIVE,0.0000,0.584310213,0.0136,298.555760,41.034061,15.361
5876368,,FALSE POSITIVE,0.0000,0.525426427,0.0122,291.821810,41.112690,14.797
5887316,,FALSE POSITIVE,0.3620,0.603086711,0.0147,295.045590,41.104210,13.989
5895588,,FALSE POSITIVE,0.1320,0.849277809,0.0173,296.994050,41.129471,15.845
5897826,,CANDIDATE,0.9970,0.875197345,0.0189,297.475860,41.114288,13.109
5900390,,FALSE POSITIVE,0.0000,0.624677585,0.0188,298.043180,41.195000,12.789
5908086,,FALSE POSITIVE,0.0000,0.93705132,0.0261,299.649960,41.113209,11.674
5942808,,CANDIDATE,1.0000,0.626281766,0.0133,285.216670,41.282429,15.622
5951140,,CANDIDATE,,0.52740121,0.0097,288.888490,41.246738,14.353
5952309,,FALSE POSITIVE,0.0000,0.905678252,0.0181,289.263000,41.266380,14.920
5952366,,FALSE POSITIVE,0.0000,0.905679492,0.0184,289.276580,41.259754,13.380
5952403,,FALSE POSITIVE,0.0000,0.905677864,0.0234,289.287410,41.264809,6.966
5952448,,FALSE POSITIVE,0.0000,0.905675699,0.0182,289.297000,41.285488,15.384
5952457,,FALSE POSITIVE,0.0000,0.905672916,0.0164,289.299770,41.278751,15.283
5956776,,FALSE POSITIVE,0.0000,0.569115097,0.0152,290.648280,41.234070,16.747
5956787,,FALSE POSITIVE,0.0000,0.569115976,0.0116,290.651250,41.234505,12.093
